"ASV","prc_score","donor_avg_abun","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV40",-4.49167993649463,0.0194424734275319,"Bacteria","Chlorobi","Chlorobi_C-1","Chlorobi_O-1","Chlorobi_F-1","Chlorobi_G-1",NA
"ASV150",-3.03748156993041,0.00623225817029344,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"ASV128",2.85068035641905,0,"Bacteria","Absconditabacteria(SR1)","SR1_C-1","SR1_O-1","SR1_F-1","SR1_G-2",NA
"ASV243",2.83028096232493,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"ASV63",2.64971688021944,0.00202940800996034,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquaspirillum",NA
"ASV135",2.63254589939809,2.06043956043956e-05,"Bacteria","Absconditabacteria(SR1)",NA,NA,NA,NA,NA
"ASV44",-2.62677363011374,0.00760271509961989,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Bergeyella",NA
"ASV146",-2.49512521579311,0.00321812039611599,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XIII","Helcococcus","sp._COT_140"
"ASV199",2.4390176363803,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV101",2.24296949630712,0,"Bacteria","Chlorobi","Chlorobi_C-1","Chlorobi_O-1","Chlorobi_F-1","Chlorobi_G-1",NA
"ASV123",-2.22503795890901,0.00338131382554684,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"ASV176",-2.20896456110385,0.00268498796896449,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus",NA
"ASV320",2.15879415926691,0,"Bacteria","Saccharibacteria(TM7)","TM7_C-1","TM7_O-1","TM7_F-1","TM7_G-3",NA
"ASV190",-2.13108455705066,0.00180372707624429,"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium",NA
"ASV210",-2.11275463830829,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XI","Peptostreptococcaceae_XI_G-10",NA
"ASV222",2.09009656277575,0,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"ASV332",-2.01775402126518,0.000192270956582783,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"ASV113",-2.00948847254086,0.000499939265596933,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XIII","Parvimonas","sp._COT_101"
"ASV29",1.99363170981207,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","gulae"
"ASV169",1.96518770313322,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
